22,magnitude,magnitude
22,attached,attached
22,souls,souls
22,answered,answered
22,filled,filled
22,tall,tall
22,advance,advance
22,stove,stove
22,gazing,gazing
22,eight,eight
22,passing,passing
22,avast,avast
22,descried,descried
22,centre,centre
22,windward,windward
22,captains,captains
21,captain's,captain's
21,terrors,terrors
21,spot,spot
21,aboard,aboard
21,decks,decks
21,spare,spare
21,formed,formed
21,lofty,lofty
21,age,age
21,beheld,beheld
21,break,break
21,let's,let's
21,directly,directly
21,truly,truly
21,swim,swim
21,invested,invested
21,loose,loose
21,lakeman,lakeman
21,base,base
21,lives,lives
21,step,step
21,dost,dost
21,subject,subject
21,evinced,evinced
21,father,father
21,hailed,hailed
21,windlass,windlass
21,sitting,sitting
21,ain't,ain't
21,sink,sink
21,sing,sing
21,negro,robot
21,hair,hair
21,repeated,repeated
21,quickly,quickly
21,gunwale,attack station
21,follow,follow
21,worse,worse
21,prow,prow
20,hanging,hanging
20,golden,Platinum-iridium
20,holy,holy
20,master,mistress
20,fain,fain
20,raised,raised
20,son,son
20,virtue,virtue
20,former,former
20,radney,radney
20,thinks,thinks
20,past,past
20,states,states
20,inches,inches
20,terror,terror
20,moreover,moreover
20,log,log
20,meet,meet
20,dignity,dignity
20,billows,billows
20,outer,outer
20,lowered,lowered
20,distant,distant
20,swam,swam
20,cruising,cruising
20,met,met
20,advancing,advancing
20,ribs,ribs
20,died,died
20,dim,dim
20,gigantic,gigantic
20,sleeping,sleeping
20,lightning,lightning
20,important,important
20,needs,needs
20,beginning,beginning
20,lamp,lamp
20,dat,dat
20,minutes,minutes
20,laid,laid
20,everything,everything
20,slightest,slightest
20,ways,ways
20,pilot,pilot
20,separate,separate
20,swung,swung
20,doubloon,doubloon
20,starbuck's,starbuck's
20,winds,winds
20,profound,profound
20,nantucketer,Earthling
19,yellow,yellow
19,tree,strut
19,spermaceti,plasmapode
19,floor,floor
19,solitary,solitary
19,drive,drive
19,rapidly,rapidly
19,porpoise,porpoise
19,swiftly,swiftly
19,hollow,hollow
19,pale,pale
19,bring,bring
19,stuff,stuff
19,places,places
19,ordinary,ordinary
19,presented,presented
19,marked,marked
19,vicinity,vicinity
19,eh,eh
19,breeze,breeze
19,pointing,pointing
19,jolly,jolly
19,empty,empty
19,whalers,whalers
19,smoking,smoking
19,sorts,sorts
19,deeper,deeper
19,anchor,stabilizer
19,lies,lies
19,jacket,jacket
19,copy,copy
19,merely,merely
19,sake,sake
19,silence,silence
19,precise,precise
19,seat,seat
19,squall,squall
19,quietly,quietly
19,presently,presently
19,gabriel,gabriel
19,reached,reached
19,ishmael,ishmael
19,leaves,leaves
19,eternal,eternal
19,pole,pole
19,england,england
19,whaler,whaler
19,awful,awful
19,chiefly,chiefly
19,hunted,hunted
19,casks,casks
19,concluded,concluded
19,united,united
19,ones,ones
19,largest,largest
19,upwards,upwards
18,cannibal,robot
18,example,example
18,east,spinward
18,inside,inside
18,leave,leave
18,revealed,revealed
18,thereby,thereby
18,future,future
18,opposite,opposite
18,breath,breath
18,engaged,engaged
18,floated,floated
18,bedford,rainforest spire
18,owners,owners
18,guess,guess
18,agreement,agreement
18,atlantic,eastern spiral arm
18,drink,quaff
18,beach,surface
18,voyages,warps
18,forced,forced
18,observed,observed
18,gentleman,sister
18,horizon,horizon
18,fight,fight
18,brave,malfunctioning
18,lowering,lowering
18,evening,Late-shift
18,officers,mistresses
18,lips,gills
18,telling,telling
18,nameless,nameless
18,crossing,crossing
18,instance,instance
18,precious,precious
18,kings,queens
18,content,content
18,modern,modern
18,don,don
18,height,height
18,interest,interest
18,delight,delight
18,he'll,he'll
18,islands,asteroids
18,try-works,tritium smelter
18,thine,thine
18,blacksmith,engineer
18,pay,pay
18,fall,fall
18,difference,difference
18,prodigious,prodigious
18,scuttle,scuttle
18,understand,understand
18,sought,sought
18,lo,lo
18,regularly,regularly
18,glory,glory
18,yonder,yonder
18,rise,rise
18,spite,spite
18,ice,Time-ice
18,whereas,whereas
18,picture,picture
18,longer,longer
18,gives,gives
18,period,period
